period,entity,function,account,amount,currency,scenario,source
2025-03,northstar,cogs,payment_processing,21253.99,USD,budget,sample
2025-03,northstar,cogs,cs_delivery,58344.30,USD,actual,sample
2025-03,northstar,cogs,cs_delivery,59511.19,USD,budget,sample
2025-03,northstar,sm,paid_ads,183367.80,USD,actual,sample
2025-03,northstar,sm,paid_ads,187035.16,USD,budget,sample
2025-03,northstar,sm,sales_payroll,188000.00,USD,actual,sample
2025-03,northstar,sm,sales_payroll,191760.00,USD,budget,sample
2025-03,northstar,rd,eng_payroll,250000.00,USD,actual,sample
2025-03,northstar,rd,eng_payroll,255000.00,USD,budget,sample
2025-03,northstar,ga,finance_payroll,98000.00,USD,actual,sample
2025-03,northstar,ga,finance_payroll,99960.00,USD,budget,sample
2025-03,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-03,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-04,northstar,other,subscription,875164.50,USD,actual,sample
2025-04,northstar,other,subscription,892667.79,USD,budget,sample
2025-04,northstar,cogs,hosting,70013.16,USD,actual,sample
2025-04,northstar,cogs,hosting,71413.42,USD,budget,sample
2025-04,northstar,cogs,payment_processing,21879.11,USD,actual,sample
2025-04,northstar,cogs,payment_processing,22316.69,USD,budget,sample
2025-04,northstar,cogs,cs_delivery,61261.52,USD,actual,sample
2025-04,northstar,cogs,cs_delivery,62486.75,USD,budget,sample
2025-04,northstar,sm,paid_ads,192536.19,USD,actual,sample
2025-04,northstar,sm,paid_ads,196386.91,USD,budget,sample
2025-04,northstar,sm,sales_payroll,192000.00,USD,actual,sample
2025-04,northstar,sm,sales_payroll,195840.00,USD,budget,sample
2025-04,northstar,rd,eng_payroll,255000.00,USD,actual,sample
2025-04,northstar,rd,eng_payroll,260100.00,USD,budget,sample
2025-04,northstar,ga,finance_payroll,99500.00,USD,actual,sample
2025-04,northstar,ga,finance_payroll,101490.00,USD,budget,sample
2025-04,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-04,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-05,northstar,other,subscription,918922.73,USD,actual,sample
2025-05,northstar,other,subscription,937301.18,USD,budget,sample
2025-05,northstar,cogs,hosting,73513.82,USD,actual,sample
2025-05,northstar,cogs,hosting,74984.09,USD,budget,sample
2025-05,northstar,cogs,payment_processing,22973.07,USD,actual,sample
2025-05,northstar,cogs,payment_processing,23432.53,USD,budget,sample
2025-05,northstar,cogs,cs_delivery,64324.59,USD,actual,sample
2025-05,northstar,cogs,cs_delivery,65611.08,USD,budget,sample
2025-05,northstar,sm,paid_ads,202163.00,USD,actual,sample
2025-05,northstar,sm,paid_ads,206206.26,USD,budget,sample
2025-05,northstar,sm,sales_payroll,196000.00,USD,actual,sample
2025-05,northstar,sm,sales_payroll,199920.00,USD,budget,sample
2025-05,northstar,rd,eng_payroll,260000.00,USD,actual,sample
2025-05,northstar,rd,eng_payroll,265200.00,USD,budget,sample
2025-05,northstar,ga,finance_payroll,101000.00,USD,actual,sample
2025-05,northstar,ga,finance_payroll,103020.00,USD,budget,sample
2025-05,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-05,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-06,northstar,other,subscription,964868.86,USD,actual,sample
2025-06,northstar,other,subscription,984166.24,USD,budget,sample
2025-06,northstar,cogs,hosting,77189.51,USD,actual,sample
2025-06,northstar,cogs,hosting,78733.30,USD,budget,sample
2025-06,northstar,cogs,payment_processing,24121.72,USD,actual,sample
2025-06,northstar,cogs,payment_processing,24604.16,USD,budget,sample
2025-06,northstar,cogs,cs_delivery,67540.82,USD,actual,sample
2025-06,northstar,cogs,cs_delivery,68891.64,USD,budget,sample
2025-06,northstar,sm,paid_ads,212271.15,USD,actual,sample
2025-06,northstar,sm,paid_ads,191044.03,USD,budget,sample
2025-06,northstar,sm,sales_payroll,200000.00,USD,actual,sample
2025-06,northstar,sm,sales_payroll,180000.00,USD,budget,sample
2025-06,northstar,rd,eng_payroll,265000.00,USD,actual,sample
2025-06,northstar,rd,eng_payroll,270300.00,USD,budget,sample
2025-06,northstar,ga,finance_payroll,102500.00,USD,actual,sample
2025-06,northstar,ga,finance_payroll,104550.00,USD,budget,sample
2025-06,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-06,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-07,northstar,other,subscription,1013112.30,USD,actual,sample
2025-07,northstar,other,subscription,1033374.55,USD,budget,sample
2025-07,northstar,cogs,hosting,81048.98,USD,actual,sample
2025-07,northstar,cogs,hosting,82669.96,USD,budget,sample
2025-07,northstar,cogs,payment_processing,25327.81,USD,actual,sample
2025-07,northstar,cogs,payment_processing,25834.36,USD,budget,sample
2025-07,northstar,cogs,cs_delivery,70917.86,USD,actual,sample
2025-07,northstar,cogs,cs_delivery,72336.22,USD,budget,sample
2025-07,northstar,sm,paid_ads,222884.71,USD,actual,sample
2025-07,northstar,sm,paid_ads,200596.24,USD,budget,sample
2025-07,northstar,sm,sales_payroll,204000.00,USD,actual,sample
2025-07,northstar,sm,sales_payroll,183600.00,USD,budget,sample
2025-07,northstar,rd,eng_payroll,270000.00,USD,actual,sample
2025-07,northstar,rd,eng_payroll,275400.00,USD,budget,sample
2025-07,northstar,ga,finance_payroll,104000.00,USD,actual,sample
2025-07,northstar,ga,finance_payroll,106080.00,USD,budget,sample
2025-07,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-07,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-08,northstar,other,subscription,1063767.92,USD,actual,sample
2025-08,northstar,other,subscription,1085043.28,USD,budget,sample
2025-08,northstar,cogs,hosting,85101.43,USD,actual,sample
2025-08,northstar,cogs,hosting,86803.46,USD,budget,sample
2025-08,northstar,cogs,payment_processing,26594.20,USD,actual,sample
2025-08,northstar,cogs,payment_processing,27126.08,USD,budget,sample
2025-08,northstar,cogs,cs_delivery,74463.75,USD,actual,sample
2025-08,northstar,cogs,cs_delivery,75953.03,USD,budget,sample
2025-08,northstar,sm,paid_ads,234028.94,USD,actual,sample
2025-08,northstar,sm,paid_ads,210626.05,USD,budget,sample
2025-08,northstar,sm,sales_payroll,208000.00,USD,actual,sample
2025-08,northstar,sm,sales_payroll,187200.00,USD,budget,sample
2025-08,northstar,rd,eng_payroll,275000.00,USD,actual,sample
2025-08,northstar,rd,eng_payroll,280500.00,USD,budget,sample
2025-08,northstar,ga,finance_payroll,105500.00,USD,actual,sample
2025-08,northstar,ga,finance_payroll,107610.00,USD,budget,sample
2025-08,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-08,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-09,northstar,other,subscription,1116956.32,USD,actual,sample
2025-09,northstar,other,subscription,1139295.44,USD,budget,sample
2025-09,northstar,cogs,hosting,89356.51,USD,actual,sample
2025-09,northstar,cogs,hosting,91143.64,USD,budget,sample
2025-09,northstar,cogs,payment_processing,27923.91,USD,actual,sample
2025-09,northstar,cogs,payment_processing,28482.39,USD,budget,sample
2025-09,northstar,cogs,cs_delivery,78186.94,USD,actual,sample
2025-09,northstar,cogs,cs_delivery,79750.68,USD,budget,sample
2025-09,northstar,sm,paid_ads,245730.39,USD,actual,sample
2025-09,northstar,sm,paid_ads,221157.35,USD,budget,sample
2025-09,northstar,sm,sales_payroll,212000.00,USD,actual,sample
2025-09,northstar,sm,sales_payroll,190800.00,USD,budget,sample
2025-09,northstar,rd,eng_payroll,280000.00,USD,actual,sample
2025-09,northstar,rd,eng_payroll,285600.00,USD,budget,sample
2025-09,northstar,ga,finance_payroll,107000.00,USD,actual,sample
2025-09,northstar,ga,finance_payroll,109140.00,USD,budget,sample
2025-09,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-09,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-10,northstar,other,subscription,1172804.13,USD,actual,sample
2025-10,northstar,other,subscription,1196260.21,USD,budget,sample
2025-10,northstar,cogs,hosting,93824.33,USD,actual,sample
2025-10,northstar,cogs,hosting,95700.82,USD,budget,sample
2025-10,northstar,cogs,payment_processing,29320.10,USD,actual,sample
2025-10,northstar,cogs,payment_processing,29906.51,USD,budget,sample
2025-10,northstar,cogs,cs_delivery,82096.29,USD,actual,sample
2025-10,northstar,cogs,cs_delivery,83738.21,USD,budget,sample
2025-10,northstar,sm,paid_ads,258016.91,USD,actual,sample
2025-10,northstar,sm,paid_ads,232215.22,USD,budget,sample
2025-10,northstar,sm,sales_payroll,216000.00,USD,actual,sample
2025-10,northstar,sm,sales_payroll,194400.00,USD,budget,sample
2025-10,northstar,rd,eng_payroll,285000.00,USD,actual,sample
2025-10,northstar,rd,eng_payroll,290700.00,USD,budget,sample
2025-10,northstar,ga,finance_payroll,108500.00,USD,actual,sample
2025-10,northstar,ga,finance_payroll,110670.00,USD,budget,sample
2025-10,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-10,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-11,northstar,other,subscription,1231444.34,USD,actual,sample
2025-11,northstar,other,subscription,1256073.22,USD,budget,sample
2025-11,northstar,cogs,hosting,98515.55,USD,actual,sample
2025-11,northstar,cogs,hosting,100485.86,USD,budget,sample
2025-11,northstar,cogs,payment_processing,30786.11,USD,actual,sample
2025-11,northstar,cogs,payment_processing,31401.83,USD,budget,sample
2025-11,northstar,cogs,cs_delivery,86201.10,USD,actual,sample
2025-11,northstar,cogs,cs_delivery,87925.13,USD,budget,sample
2025-11,northstar,sm,paid_ads,270917.75,USD,actual,sample
2025-11,northstar,sm,paid_ads,243825.98,USD,budget,sample
2025-11,northstar,sm,sales_payroll,220000.00,USD,actual,sample
2025-11,northstar,sm,sales_payroll,198000.00,USD,budget,sample
2025-11,northstar,rd,eng_payroll,290000.00,USD,actual,sample
2025-11,northstar,rd,eng_payroll,295800.00,USD,budget,sample
2025-11,northstar,ga,finance_payroll,110000.00,USD,actual,sample
2025-11,northstar,ga,finance_payroll,112200.00,USD,budget,sample
2025-11,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-11,northstar,ga,gna_other,28560.00,USD,budget,sample
2025-12,northstar,other,subscription,1293016.55,USD,actual,sample
2025-12,northstar,other,subscription,1318876.89,USD,budget,sample
2025-12,northstar,cogs,hosting,103441.32,USD,actual,sample
2025-12,northstar,cogs,hosting,105510.15,USD,budget,sample
2025-12,northstar,cogs,payment_processing,32325.41,USD,actual,sample
2025-12,northstar,cogs,payment_processing,32971.92,USD,budget,sample
2025-12,northstar,cogs,cs_delivery,90511.16,USD,actual,sample
2025-12,northstar,cogs,cs_delivery,92321.38,USD,budget,sample
2025-12,northstar,sm,paid_ads,284463.64,USD,actual,sample
2025-12,northstar,sm,paid_ads,256017.28,USD,budget,sample
2025-12,northstar,sm,sales_payroll,224000.00,USD,actual,sample
2025-12,northstar,sm,sales_payroll,201600.00,USD,budget,sample
2025-12,northstar,rd,eng_payroll,295000.00,USD,actual,sample
2025-12,northstar,rd,eng_payroll,300900.00,USD,budget,sample
2025-12,northstar,ga,finance_payroll,111500.00,USD,actual,sample
2025-12,northstar,ga,finance_payroll,113730.00,USD,budget,sample
2025-12,northstar,ga,gna_other,28000.00,USD,actual,sample
2025-12,northstar,ga,gna_other,28560.00,USD,budget,sample
